a	58.978	59.048	60.258	61.114	62.084	63.472	64.552	65.144
b	33.51	33.09	33.27	32.99	32.94	32.94	32.86	33.32
c	58.978	59.048	60.258	61.114	62.084	63.472	64.552	65.144
d	33.51	33.09	33.27	32.99	32.94	32.94	32.86	33.32
e	58.978	59.048	60.258	61.114	62.084	63.472	64.552	65.144
f	33.51	33.09	33.27	32.99	32.94	32.94	32.86	33.32
g	58.978	59.048	60.258	61.114	62.084	63.472	64.552	65.144
h	33.51	33.09	33.27	32.99	32.94	32.94	32.86	33.32
i	58.978	59.048	60.258	61.114	62.084	63.472	64.552	65.144
j	33.51	33.09	33.27	32.99	32.94	32.94	32.86	33.32
k	58.978	59.048	60.258	61.114	62.084	63.472	64.552	65.144
l	33.51	33.09	33.27	32.99	32.94	32.94	32.86	33.32
